SalePrice,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
424870,1466,1362,0,4,1Fam,TA,Gd,1150,0,GLQ,Unf,1,0,Ex,316,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,3,Typ,1052,3,TA,RFn,TA,BuiltIn,2006,2828,0,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9965,Inside,77,Reg,0,60,RL,340,Stone,,0,4,CollgCr,144,5,8,Y,0,CompShg,Hip,Partial,New,0,Pave,11,1466,AllPub,125,2006,2007,2007
423000,2097,0,0,1,1Fam,TA,Mn,1721,0,GLQ,Unf,1,0,Ex,356,Y,RRAn,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Ex,1,PConc,1,Typ,1134,3,TA,Fin,TA,Attchd,2005,2097,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,20896,CulDSac,49,IR2,0,20,RL,0,None,,0,1,Somerst,267,5,8,Y,0,CompShg,Gable,Partial,New,0,Pave,8,2077,AllPub,192,2005,2006,2006
415298,2121,0,0,3,1Fam,TA,Gd,0,0,Unf,Unf,0,0,Ex,2121,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,,Ex,1,PConc,2,Typ,732,3,TA,Fin,TA,Attchd,2007,2121,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,14450,Inside,107,Reg,0,20,RL,315,BrkFace,,0,5,NridgHt,98,5,9,Y,0,CompShg,Gable,Partial,New,142,Pave,8,2121,AllPub,124,2006,2007,2007
412500,1572,1096,0,3,1Fam,TA,Av,1016,0,GLQ,Unf,1,0,Ex,556,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,2,PConc,2,Typ,726,3,TA,Fin,TA,BuiltIn,2003,2668,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,13688,Inside,110,IR1,0,60,RL,664,BrkFace,,0,3,NridgHt,0,5,9,Y,0,CompShg,Gable,Normal,WD,0,Pave,10,1572,AllPub,400,2003,2004,2008
410000,2053,1185,0,4,1Fam,TA,Av,816,0,GLQ,Unf,1,0,Gd,1217,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Ex,1,PConc,2,Typ,666,3,TA,Fin,TA,Attchd,1996,3238,1,GasA,Ex,1.5Fin,1,Gd,Lvl,Gtl,14720,CulDSac,56,IR1,0,50,RL,579,BrkFace,,0,3,NoRidge,86,5,8,Y,0,CompShg,Hip,Normal,WD,0,Pave,9,2033,AllPub,283,1995,1996,2010
403000,1490,1304,0,4,1Fam,TA,No,689,0,GLQ,Unf,1,0,Gd,773,Y,Norm,Norm,SBrkr,202,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,810,3,TA,Fin,TA,Attchd,1995,2794,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,15138,Inside,174,IR1,0,60,RL,506,BrkFace,,0,7,NoRidge,146,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,9,1462,AllPub,0,1995,1996,2009
402861,2020,0,0,3,1Fam,TA,No,1436,0,GLQ,Unf,1,0,Ex,570,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,,Gd,1,CBlock,2,Typ,900,3,TA,Fin,TA,Attchd,2009,2020,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,12220,Inside,94,Reg,0,20,RL,305,BrkFace,,0,9,NridgHt,54,5,10,Y,0,CompShg,Hip,Partial,New,0,Pave,9,2006,AllPub,156,2009,2009,2009
402000,1686,762,0,4,1Fam,Gd,No,1361,180,GLQ,Rec,1,0,Gd,88,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,711,3,TA,RFn,TA,Attchd,1994,2448,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,46589,CulDSac,52,IR2,0,60,RL,528,BrkFace,,0,7,NoRidge,76,7,8,Y,0,CompShg,Hip,Normal,WD,0,Pave,8,1629,AllPub,517,1994,2005,2009
395192,1940,0,0,3,1Fam,TA,Av,1646,0,GLQ,Unf,1,0,Ex,284,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,606,3,TA,Fin,TA,Attchd,2010,1940,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,10159,Inside,83,IR1,0,20,RL,450,Stone,,0,4,NridgHt,95,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,8,1930,AllPub,168,2009,2010,2010
395000,1973,0,0,3,1Fam,TA,Av,0,0,Unf,Unf,0,0,Gd,1935,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,895,3,TA,Fin,TA,Attchd,2006,1973,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,14226,Corner,110,Reg,0,20,RL,375,BrkFace,,0,7,NridgHt,45,5,8,Y,0,CompShg,Hip,Partial,New,0,Pave,9,1935,AllPub,315,2006,2006,2007
394617,1932,0,304,2,1Fam,TA,Av,1336,0,GLQ,Unf,1,0,Ex,596,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,774,3,TA,Fin,TA,Attchd,2008,1932,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,12444,FR2,96,Reg,0,20,RL,426,Stone,,0,11,NridgHt,66,5,8,Y,0,CompShg,Hip,Partial,New,0,Pave,7,1932,AllPub,0,2008,2008,2008
394432,1856,0,0,1,1Fam,TA,Av,1445,0,GLQ,Unf,1,0,Ex,411,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Ex,1,PConc,1,Typ,834,3,TA,Fin,TA,Attchd,2010,1856,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,11394,Corner,88,Reg,0,20,RL,350,Stone,,0,6,StoneBr,0,2,9,Y,0,CompShg,Hip,Partial,New,0,Pave,8,1856,AllPub,113,2010,2010,2010
392500,1652,0,153,2,TwnhsE,TA,Gd,1480,0,GLQ,Unf,1,1,Ex,120,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,,Gd,1,PConc,2,Typ,482,2,TA,Fin,TA,Attchd,2008,1652,0,GasA,Ex,1Story,1,Gd,HLS,Mod,5587,Inside,64,IR1,0,120,RM,186,Stone,,0,11,Crawfor,53,5,8,Y,0,CompShg,Hip,Partial,New,0,Pave,5,1600,AllPub,162,2008,2008,2008
392000,1419,0,0,2,1Fam,TA,Av,945,0,GLQ,Unf,1,0,Gd,474,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,Gd,1,PConc,2,Typ,567,2,TA,RFn,TA,Attchd,2007,1419,0,GasA,Ex,1Story,1,Gd,HLS,Gtl,8089,Inside,60,Reg,0,20,RL,0,BrkFace,,0,10,StoneBr,0,6,8,Y,0,CompShg,Gable,Partial,New,0,Pave,7,1419,AllPub,140,2007,2007,2007
386250,2392,0,0,3,1Fam,TA,Gd,56,0,GLQ,Unf,0,0,Ex,2336,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Ex,1,PConc,2,Typ,968,3,TA,Fin,TA,Attchd,2003,2392,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,13472,Inside,103,Reg,0,20,RL,922,BrkFace,,0,6,NridgHt,105,5,10,Y,0,CompShg,Hip,Normal,WD,0,Pave,8,2392,AllPub,248,2003,2003,2009
385000,1842,0,0,0,1Fam,TA,Gd,1810,0,GLQ,Unf,2,0,Ex,32,Y,Norm,Norm,SBrkr,0,TA,Gd,WdShing,Wd Shng,,Gd,1,CBlock,0,Typ,894,3,TA,Fin,TA,Attchd,1981,1842,1,GasA,Gd,1Story,1,Gd,Low,Gtl,50271,Inside,68,IR1,0,20,RL,0,None,,0,11,Veenker,72,5,9,Y,0,WdShngl,Gable,Normal,WD,0,Pave,5,1842,AllPub,857,1981,1987,2006
385000,2084,0,0,2,1Fam,TA,Av,1636,0,GLQ,Unf,1,0,Ex,442,Y,PosN,PosN,SBrkr,0,TA,Ex,CemntBd,CmentBd,,Gd,1,PConc,2,Typ,1220,3,TA,Fin,TA,Attchd,2007,2084,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,14803,Inside,114,Reg,0,20,RL,816,BrkFace,,0,6,NridgHt,45,5,10,Y,0,CompShg,Hip,Partial,New,0,Pave,7,2078,AllPub,188,2007,2008,2008
383970,1282,1414,0,4,1Fam,TA,Av,984,0,GLQ,Unf,1,0,Ex,280,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,792,3,TA,Fin,TA,BuiltIn,2007,2696,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,9965,Inside,77,Reg,0,60,RL,220,Stone,,0,10,CollgCr,184,5,7,Y,0,CompShg,Gable,Partial,New,168,Pave,10,1264,AllPub,120,2007,2007,2007
381000,1968,1479,0,4,1Fam,TA,Mn,192,0,Rec,Unf,0,0,TA,536,Y,Norm,Norm,SBrkr,0,Gd,TA,Stucco,Stucco,GdWo,Gd,2,CBlock,3,Typ,1014,3,TA,Unf,TA,BuiltIn,1982,3447,1,GasA,Ex,1.5Fin,1,Gd,Lvl,Mod,14100,Inside,,IR1,0,50,RL,632,BrkFace,,0,5,Crawfor,12,9,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,11,728,AllPub,314,1935,1997,2008
380000,2069,574,0,3,1Fam,TA,Av,0,0,Unf,Unf,0,0,Gd,2153,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,694,3,TA,Fin,TA,BuiltIn,2006,2643,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,13693,Inside,105,Reg,0,60,RL,772,BrkFace,,0,3,NridgHt,84,5,9,Y,0,CompShg,Hip,Normal,WD,0,Pave,9,2153,AllPub,414,2006,2006,2007
378500,2018,0,0,3,1Fam,TA,Gd,0,0,Unf,Unf,0,0,Ex,2002,Y,Norm,Norm,SBrkr,0,TA,Ex,Stucco,CmentBd,,Gd,1,PConc,2,Typ,746,3,TA,Fin,TA,Attchd,2009,2018,0,GasA,Ex,1Story,1,Ex,HLS,Gtl,13214,Inside,89,IR1,0,20,RL,0,None,,0,5,Timber,76,5,9,Y,0,CompShg,Hip,Normal,WD,0,Pave,10,2002,AllPub,144,2008,2009,2010
377500,1746,0,0,3,1Fam,TA,Gd,1320,0,GLQ,Unf,1,0,Ex,426,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,2,PConc,2,Typ,758,3,TA,Fin,TA,Attchd,2006,1746,0,GasA,Ex,1Story,1,Ex,HLS,Gtl,14892,CulDSac,42,IR1,0,20,RL,160,Stone,,0,10,Gilbert,39,5,9,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,1746,AllPub,201,2006,2007,2009
377426,1922,0,0,3,1Fam,TA,Gd,1249,0,GLQ,Unf,1,0,Ex,673,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,676,3,TA,Fin,TA,Attchd,2005,1922,0,GasA,Ex,1Story,1,Gd,HLS,Gtl,14157,Corner,86,IR1,0,20,RL,200,Stone,,0,7,StoneBr,51,5,9,Y,0,CompShg,Hip,Normal,WD,0,Pave,8,1922,AllPub,178,2005,2006,2007
375000,2036,0,0,3,1Fam,TA,Gd,1236,820,ALQ,Rec,2,0,Gd,80,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,,Gd,2,CBlock,2,Typ,513,2,TA,RFn,TA,Attchd,1965,2036,0,GasW,TA,1Story,1,TA,Low,Sev,215245,Inside,150,IR3,0,20,RL,0,None,,0,6,Timber,0,5,7,Y,0,CompShg,Hip,Normal,WD,0,Pave,8,2136,AllPub,0,1965,1965,2009
374000,1792,0,0,2,1Fam,TA,Gd,1567,0,GLQ,Unf,1,0,Ex,225,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,874,3,TA,Fin,TA,Attchd,2003,1792,0,GasA,Ex,1Story,1,Ex,HLS,Gtl,11846,Inside,72,IR1,0,20,RL,562,BrkFace,,0,8,NridgHt,49,5,9,Y,0,CompShg,Hip,Normal,WD,0,Pave,6,1792,AllPub,206,2003,2004,2006
372500,2046,0,0,3,1Fam,TA,Mn,0,0,Unf,Unf,0,0,Ex,2046,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,834,3,TA,Fin,TA,Attchd,2008,2046,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11844,Inside,80,IR1,0,20,RL,464,Stone,,0,7,StoneBr,82,5,8,Y,0,CompShg,Hip,Partial,New,0,Pave,7,2046,AllPub,322,2008,2008,2009
372402,1710,0,0,2,1Fam,TA,Gd,1400,0,GLQ,Unf,1,0,Ex,310,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,866,3,TA,RFn,TA,Attchd,2007,1710,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13891,Inside,107,Reg,0,20,RL,436,Stone,,0,1,NridgHt,102,5,8,Y,0,CompShg,Hip,Partial,New,0,Pave,6,1710,AllPub,0,2007,2008,2008
370878,1766,0,0,2,1Fam,TA,Mn,1121,0,GLQ,Unf,1,0,Ex,645,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,,Gd,1,PConc,2,Typ,478,3,TA,Fin,TA,Attchd,2009,1766,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,9187,Inside,85,Reg,0,20,FV,162,Stone,,0,10,Somerst,130,5,9,Y,0,CompShg,Gable,Partial,New,0,Pave,7,1766,AllPub,195,2009,2009,2009
369900,2028,0,0,2,1Fam,TA,Gd,1460,0,GLQ,Unf,1,0,Ex,408,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,2,PConc,2,Typ,880,3,TA,RFn,TA,Attchd,2005,2028,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11443,Inside,88,Reg,0,20,RL,208,BrkFace,,0,3,Timber,66,5,8,Y,0,CompShg,Hip,Partial,New,0,Pave,7,1868,AllPub,326,2005,2006,2006
367294,1702,0,0,1,TwnhsE,TA,No,1540,0,GLQ,Unf,1,0,Ex,162,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,,Gd,1,PConc,1,Typ,1052,3,TA,Fin,TA,Attchd,2008,1702,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,8769,Corner,65,Reg,0,120,RL,766,BrkFace,,0,10,NridgHt,72,5,9,Y,0,CompShg,Hip,Partial,New,224,Pave,7,1702,AllPub,0,2008,2008,2008
361919,1264,1312,0,4,1Fam,Gd,No,0,0,Unf,Unf,0,0,Ex,1234,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,666,3,TA,Fin,TA,BuiltIn,2006,2576,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,12438,Inside,82,IR1,0,60,RL,466,BrkFace,,0,7,StoneBr,100,5,8,Y,0,CompShg,Hip,Partial,New,0,Pave,10,1234,AllPub,324,2006,2006,2006
